"css-175oi2r href","css-9pa8cd src","css-1jxf684","css-1jxf684 2","css-146c3p1 href","css-146c3p1","css-146c3p1 2","css-1jxf684 href","css-1jxf684 4","css-1jxf684 5","css-1jxf684 href 2","css-1jxf684 6","css-1jxf684 7","css-1jxf684 8","css-1jxf684 9","css-175oi2r href 4","css-1jxf684 10","css-1jxf684 11","css-1jxf684 href 3","css-1jxf684 12","r-4qtqp9 src","css-1jxf684 13","css-1jxf684 href 4","css-1jxf684 14","css-1jxf684 15"
"https://x.com/DieGrosskopf","https://pbs.twimg.com/profile_images/2002593486420213760/SEkuDh_B_normal.jpg","Cleiton Grosskopf","@DieGrosskopf","https://x.com/DieGrosskopf/status/2009716972754481448","2h","En respuesta a","https://x.com/luabt85","@luabt85","","","","Este es el primero incendio en","","? A lo que parece, jamás sucedió en el gobierno Kürschner","https://x.com/DieGrosskopf/status/2009716972754481448/analytics","25","1","","","","@grok","https://x.com/grok","","Patagonia"
"https://x.com/Batto271","https://pbs.twimg.com/profile_images/464206524865204224/SL1nRFdY_normal.jpeg","Domador de Munchos","@Batto271","https://x.com/Batto271/status/2009716579572039913","2h","En respuesta a","https://x.com/lfsur","@lfsur","","","","puedes confirmar si el video es de incendios en la","","argentina o el video pertenece a los incendios en california?","https://x.com/Batto271/status/2009716579572039913/analytics","93","1","","","https://abs-0.twimg.com/emoji/v2/svg/1f5a4.svg","@grok","https://x.com/grok","","patagonia"
"https://x.com/4l3jandr445","https://pbs.twimg.com/profile_images/1906507409184468992/DOVYhrqr_normal.jpg","K-ny","@4l3jandr445","https://x.com/4l3jandr445/status/2009716092286185695","2h","En respuesta a","https://x.com/asilva1313","@asilva1313","y","https://x.com/biobio","@biobio","que origen tienen las granadas encontradas en los incendios de la","","Argentina?","https://x.com/4l3jandr445/status/2009716092286185695/analytics","35","1","","","https://abs-0.twimg.com/emoji/v2/svg/1f4ab.svg","@grok","https://x.com/grok","","Patagonia"
"https://x.com/viking_boer","https://pbs.twimg.com/profile_images/1906784560014135296/mr7AzLj3_normal.jpg","VIKING BOER","@viking_boer","https://x.com/viking_boer/status/2009707851695174007","2h","","","","","","","I asked","Patagonia","what it's thought about what 2026 will look like regarding geopolitical frcition around the world. 

Here is his take: ""","https://x.com/viking_boer/status/2009707851695174007/analytics","67","1","","","","@grok","https://x.com/grok","1","Current Global Tensions and Future Geopolitics | Shared Grok Conversation"
"https://x.com/sungaiar","https://pbs.twimg.com/profile_images/2009670573769564161/SL5GXC38_normal.jpg",".","@sungaiar","https://x.com/sungaiar/status/2009702389666963958","3h","Respondiendo a","https://x.com/sungaiar","@sungaiar","","https://x.com/EstoicoBuenAyre","@EstoicoBuenAyre","en viajes a América del Sur, no les interesa Europa. Espero que los israelíes que se ven en la","Patagonia","sean simplemente turistas que eligen gastar el dinero en viaje, y no colonos .","https://x.com/sungaiar/status/2009702389666963958/analytics","75","2","https://x.com/sungaiar/status/2009702389666963958/people","y 3 más","","","","",""
"https://x.com/DavidDavid53385","https://pbs.twimg.com/profile_images/1672892930984484866/cJ-Js83s_normal.png","David David","@DavidDavid53385","https://x.com/DavidDavid53385/status/2009690457778078193","3h","En respuesta a","https://x.com/grok","@grok","y","https://x.com/Coronel_Kurzt","@Coronel_Kurzt","Bien lejos. Es sospechoso que ambos hubieran sido ocasionados naturalmente o que o que los fuegos en un parque llegaran hasta el otro parque. Cuantos kms quemados hay hasta ahora? Comparado a otros incendios forestales en la","Patagonia","son muy grandes? En qué puesto del ranking?","https://x.com/DavidDavid53385/status/2009690457778078193/analytics","29","1","https://x.com/Bracesco2023","@Bracesco2023","","","","",""
"https://x.com/SirHoraceBowen","https://pbs.twimg.com/profile_images/1686349314983948288/UyR94MBb_normal.jpg","sir horace","@SirHoraceBowen","https://x.com/SirHoraceBowen/status/2009689463245750353","3h","En respuesta a","https://x.com/simangeo","@simangeo","","","","hola","patagonia","todavia sin ser tendencia  en argentina las palabras israeli o judio con sus plurales. q raro no, tres dias tendencia","https://x.com/SirHoraceBowen/status/2009689463245750353/analytics","85","1","","","","@grok","https://x.com/grok","1",""
"https://x.com/GordoBirrero85","https://pbs.twimg.com/profile_images/1840432082557816832/fgkwwU_i_normal.jpg","Germán Hollmann","@GordoBirrero85","https://x.com/GordoBirrero85/status/2009688705045598251","3h","En respuesta a","https://x.com/luabt85","@luabt85","Hola","https://x.com/grok","@grok","podrás decirnos cuántos incendios forestales hubo en la","patagonia","entre los años 2007 y 2023?","https://x.com/GordoBirrero85/status/2009688705045598251/analytics","2","5","","1 mil","","","","",""
"https://x.com/NaSalsae","https://pbs.twimg.com/profile_images/1915076063471837184/NuxMvJx-_normal.jpg","Numidia ⵣ","@NaSalsae","https://x.com/NaSalsae/status/2009684628982976890","4h","En respuesta a","https://x.com/genteonline","@genteonline","","","","comment va maintenant :
 la","","donne :
état des lieux 
avancement des incendies 
+ Surface brûlé 
+ traduit moi ce que le Mr dit dans la vidéo 
+ 
est ce que des pays ont offert des avions bombardier d'eau/ anti incendie à l'argentine ?","https://x.com/NaSalsae/status/2009684628982976890/analytics","19","1","","","https://abs-0.twimg.com/emoji/v2/svg/1f1e9-1f1ff.svg","@grok","https://x.com/grok","","Patagonia"
"https://x.com/kindrionl","https://pbs.twimg.com/profile_images/2006822492615131136/EeMhZHWh_normal.jpg","Kindrion","@kindrionl","https://x.com/kindrionl/status/2009678769594794069","4h","Respondiendo a","https://x.com/Thaeus4","@Thaeus4","","https://x.com/avanguardor","@avanguardor","As árvores mais velhas da","Patagônia","viveram por mais de 5 mil anos e demoraram séculos inteiros para crescerem, isso não se recupera em uma, duas ou até três décadas, a próxima geração inteira vai ser privada de quilômetros de floresta que nunca vai ser adultas na era deles.","https://x.com/kindrionl/status/2009678769594794069/analytics","39","1","https://x.com/kindrionl/status/2009678769594794069/people","y 2 más","","","","3",""
